360.135619507;1;293.15
359.011661308;2;293.15
358.009053591;3;293.15
357.055928189;4;293.15
356.138382637;5;293.15
355.250752412;6;293.15
354.389296892;7;293.15
348.887687031;14;293.15
343.952346195;21;293.15
339.38438478;28;293.15
335.149006431;35;293.15
331.24092926;42;293.15
327.657114684;49;293.15
324.385662379;56;293.15
321.40849732;63;293.15
318.705082529;70;293.15
358.413118971;1;253.15
356.64691104;2;253.15
355.071355841;3;253.15
353.573599143;4;253.15
352.131741693;5;253.15
350.736890675;6;253.15
349.383154341;7;253.15
340.73780493;14;253.15
332.982246517;21;253.15
325.803997856;28;253.15
319.148415863;35;253.15
313.007216506;42;253.15
307.375414791;49;253.15
302.234725616;56;253.15
297.556082529;63;253.15
293.307916399;70;253.15
359.274370847;1;273.15
357.829254019;2;273.15
356.540226152;3;273.15
355.314788853;4;273.15
354.135048232;5;273.15
352.993821008;6;273.15
351.886226152;7;273.15
344.812732047;14;273.15
338.467316184;21;273.15
332.594182208;28;273.15
327.148720257;35;273.15
322.124107181;42;273.15
317.516256163;49;273.15
313.310224009;56;273.15
309.482301179;63;273.15
306.006521972;70;273.15
